Archivo,PID,Hora de inicio,Hora de finalización,Duración (s),Modo,Hora de inicio del programa,Hora de inicio de la carga del primer archivo,Hora de finalización de la carga del último archivo,Hora de finalización del programa,Tiempo total del proceso (s)
Accumulation-accounts-2008-2022-provisional.csv,21276,18:58:35.880562,18:58:35.948364,0.067802,same_core,18:58:27.989820,18:58:35.880562,18:58:38.129058,18:58:38.314321,10.324501
Air_Quality.csv,21276,18:58:36.148581,18:58:36.193877,0.045296,same_core,18:58:27.989820,18:58:35.880562,18:58:38.129058,18:58:38.314321,10.324501
annual-enterprise-survey-2023-financial-year-provisional.csv,21276,18:58:36.238353,18:58:36.345253,0.106900,same_core,18:58:27.989820,18:58:35.880562,18:58:38.129058,18:58:38.314321,10.324501
bank.csv,21276,18:58:36.435626,18:58:36.444325,0.008699,same_core,18:58:27.989820,18:58:35.880562,18:58:38.129058,18:58:38.314321,10.324501
consumers-price-index-june-2024-quarter-index-numbers.csv,21276,18:58:36.496513,18:58:36.561794,0.065281,same_core,18:58:27.989820,18:58:35.880562,18:58:38.129058,18:58:38.314321,10.324501
consumers-price-index-june-2024-quarter-infoshare-data.csv,21276,18:58:36.598571,18:58:36.603733,0.005162,same_core,18:58:27.989820,18:58:35.880562,18:58:38.129058,18:58:38.314321,10.324501
consumo_casa.csv,21276,18:58:36.654028,18:58:36.965419,0.311391,same_core,18:58:27.989820,18:58:35.880562,18:58:38.129058,18:58:38.314321,10.324501
economic-survey-of-manufacturing-march-2024-csv.csv,21276,18:58:37.156182,18:58:37.258815,0.102633,same_core,18:58:27.989820,18:58:35.880562,18:58:38.129058,18:58:38.314321,10.324501
electronic-card-transactions-june-2024-csv-tables.xlsx.csv,21276,18:58:37.387173,18:58:37.441655,0.054482,same_core,18:58:27.989820,18:58:35.880562,18:58:38.129058,18:58:38.314321,10.324501
gamergate_tweets.csv,19744,18:58:37.459892,18:58:37.595990,0.136098,same_core,18:58:27.989820,18:58:35.880562,18:58:38.129058,18:58:38.314321,10.324501
iou_zipcodes_2020.csv,21276,18:58:37.608796,18:58:37.690971,0.082175,same_core,18:58:27.989820,18:58:35.880562,18:58:38.129058,18:58:38.314321,10.324501
machine-readable-business-employment-data-mar-2024-quarter.csv,19744,18:58:37.736435,18:58:37.802795,0.066360,same_core,18:58:27.989820,18:58:35.880562,18:58:38.129058,18:58:38.314321,10.324501
research-and-development-survey-2023.csv,21276,18:58:37.824053,18:58:37.922592,0.098539,same_core,18:58:27.989820,18:58:35.880562,18:58:38.129058,18:58:38.314321,10.324501
"SYB66_1_202310_Population, Surface Area and Density.csv",19744,18:58:37.970180,18:58:38.003363,0.033183,same_core,18:58:27.989820,18:58:35.880562,18:58:38.129058,18:58:38.314321,10.324501
SYB66_223_202310_Net Disbursements from Official ODA from Donors.csv,21276,18:58:38.021247,18:58:38.026332,0.005085,same_core,18:58:27.989820,18:58:35.880562,18:58:38.129058,18:58:38.314321,10.324501
SYB66_313_202310_Threatened Species.csv,19744,18:58:38.053120,18:58:38.069958,0.016838,same_core,18:58:27.989820,18:58:35.880562,18:58:38.129058,18:58:38.314321,10.324501
SYB66_327_202310_International Migrants and Refugees.csv,21276,18:58:38.096123,18:58:38.129058,0.032935,same_core,18:58:27.989820,18:58:35.880562,18:58:38.129058,18:58:38.314321,10.324501
