Archivo,PID,Hora de inicio,Hora de finalización,Duración (s),Modo,Hora de inicio del programa,Hora de inicio de la carga del primer archivo,Hora de finalización de la carga del último archivo,Hora de finalización del programa,Tiempo total del proceso (s)
Accumulation-accounts-2008-2022-provisional.csv,9248,19:38:04.573249,19:38:04.715721,0.142472,multi_core,19:38:02.806952,19:38:04.573249,19:38:04.945531,19:38:05.331050,2.524098
Air_Quality.csv,8920,19:38:04.573249,19:38:04.700030,0.126781,multi_core,19:38:02.806952,19:38:04.573249,19:38:04.945531,19:38:05.331050,2.524098
annual-enterprise-survey-2023-financial-year-provisional.csv,20464,19:38:04.675840,19:38:04.964853,0.289013,multi_core,19:38:02.806952,19:38:04.573249,19:38:04.945531,19:38:05.331050,2.524098
bank.csv,8920,19:38:04.712591,19:38:04.727744,0.015153,multi_core,19:38:02.806952,19:38:04.573249,19:38:04.945531,19:38:05.331050,2.524098
consumers-price-index-june-2024-quarter-index-numbers.csv,9248,19:38:04.735932,19:38:04.820224,0.084292,multi_core,19:38:02.806952,19:38:04.573249,19:38:04.945531,19:38:05.331050,2.524098
consumers-price-index-june-2024-quarter-infoshare-data.csv,8920,19:38:04.747310,19:38:04.759574,0.012264,multi_core,19:38:02.806952,19:38:04.573249,19:38:04.945531,19:38:05.331050,2.524098
consumo_casa.csv,8920,19:38:04.761604,19:38:05.130215,0.368611,multi_core,19:38:02.806952,19:38:04.573249,19:38:04.945531,19:38:05.331050,2.524098
economic-survey-of-manufacturing-march-2024-csv.csv,14908,19:38:04.802629,19:38:05.018530,0.215901,multi_core,19:38:02.806952,19:38:04.573249,19:38:04.945531,19:38:05.331050,2.524098
electronic-card-transactions-june-2024-csv-tables.xlsx.csv,21988,19:38:04.805857,19:38:04.964853,0.158996,multi_core,19:38:02.806952,19:38:04.573249,19:38:04.945531,19:38:05.331050,2.524098
gamergate_tweets.csv,26828,19:38:04.828471,19:38:05.015965,0.187494,multi_core,19:38:02.806952,19:38:04.573249,19:38:04.945531,19:38:05.331050,2.524098
iou_zipcodes_2020.csv,9248,19:38:04.835570,19:38:05.005776,0.170206,multi_core,19:38:02.806952,19:38:04.573249,19:38:04.945531,19:38:05.331050,2.524098
machine-readable-business-employment-data-mar-2024-quarter.csv,29100,19:38:04.850234,19:38:04.988747,0.138513,multi_core,19:38:02.806952,19:38:04.573249,19:38:04.945531,19:38:05.331050,2.524098
research-and-development-survey-2023.csv,18904,19:38:04.864913,19:38:05.050711,0.185798,multi_core,19:38:02.806952,19:38:04.573249,19:38:04.945531,19:38:05.331050,2.524098
"SYB66_1_202310_Population, Surface Area and Density.csv",28336,19:38:04.864913,19:38:04.945531,0.080618,multi_core,19:38:02.806952,19:38:04.573249,19:38:04.945531,19:38:05.331050,2.524098
SYB66_223_202310_Net Disbursements from Official ODA from Donors.csv,6220,19:38:04.865976,19:38:04.897226,0.031250,multi_core,19:38:02.806952,19:38:04.573249,19:38:04.945531,19:38:05.331050,2.524098
SYB66_313_202310_Threatened Species.csv,3408,19:38:04.897226,19:38:04.945531,0.048305,multi_core,19:38:02.806952,19:38:04.573249,19:38:04.945531,19:38:05.331050,2.524098
SYB66_327_202310_International Migrants and Refugees.csv,6220,19:38:04.902442,19:38:04.945531,0.043089,multi_core,19:38:02.806952,19:38:04.573249,19:38:04.945531,19:38:05.331050,2.524098
