Archivo,PID,Hora de inicio,Hora de finalización,Duración (s),Modo,Hora de inicio del programa,Hora de inicio de la carga del primer archivo,Hora de finalización de la carga del último archivo,Hora de finalización del programa,Tiempo total del proceso (s)
Accumulation-accounts-2008-2022-provisional.csv,12712,18:58:12.393335,18:58:12.443625,0.050290,sequentially,18:58:12.392058,18:58:12.393335,18:58:13.446425,18:58:13.446425,1.054367
Air_Quality.csv,12712,18:58:12.444974,18:58:12.482421,0.037447,sequentially,18:58:12.392058,18:58:12.393335,18:58:13.446425,18:58:13.446425,1.054367
annual-enterprise-survey-2023-financial-year-provisional.csv,12712,18:58:12.483803,18:58:12.565361,0.081558,sequentially,18:58:12.392058,18:58:12.393335,18:58:13.446425,18:58:13.446425,1.054367
bank.csv,12712,18:58:12.566316,18:58:12.576021,0.009705,sequentially,18:58:12.392058,18:58:12.393335,18:58:13.446425,18:58:13.446425,1.054367
consumers-price-index-june-2024-quarter-index-numbers.csv,12712,18:58:12.577539,18:58:12.612085,0.034546,sequentially,18:58:12.392058,18:58:12.393335,18:58:13.446425,18:58:13.446425,1.054367
consumers-price-index-june-2024-quarter-infoshare-data.csv,12712,18:58:12.613055,18:58:12.618854,0.005799,sequentially,18:58:12.392058,18:58:12.393335,18:58:13.446425,18:58:13.446425,1.054367
consumo_casa.csv,12712,18:58:12.620872,18:58:12.949103,0.328231,sequentially,18:58:12.392058,18:58:12.393335,18:58:13.446425,18:58:13.446425,1.054367
economic-survey-of-manufacturing-march-2024-csv.csv,12712,18:58:12.949894,18:58:13.030696,0.080802,sequentially,18:58:12.392058,18:58:12.393335,18:58:13.446425,18:58:13.446425,1.054367
electronic-card-transactions-june-2024-csv-tables.xlsx.csv,12712,18:58:13.030696,18:58:13.077718,0.047022,sequentially,18:58:12.392058,18:58:12.393335,18:58:13.446425,18:58:13.446425,1.054367
gamergate_tweets.csv,12712,18:58:13.078756,18:58:13.181409,0.102653,sequentially,18:58:12.392058,18:58:12.393335,18:58:13.446425,18:58:13.446425,1.054367
iou_zipcodes_2020.csv,12712,18:58:13.182383,18:58:13.248648,0.066265,sequentially,18:58:12.392058,18:58:12.393335,18:58:13.446425,18:58:13.446425,1.054367
machine-readable-business-employment-data-mar-2024-quarter.csv,12712,18:58:13.249942,18:58:13.296323,0.046381,sequentially,18:58:12.392058,18:58:12.393335,18:58:13.446425,18:58:13.446425,1.054367
research-and-development-survey-2023.csv,12712,18:58:13.298425,18:58:13.380109,0.081684,sequentially,18:58:12.392058,18:58:12.393335,18:58:13.446425,18:58:13.446425,1.054367
"SYB66_1_202310_Population, Surface Area and Density.csv",12712,18:58:13.380109,18:58:13.403423,0.023314,sequentially,18:58:12.392058,18:58:12.393335,18:58:13.446425,18:58:13.446425,1.054367
SYB66_223_202310_Net Disbursements from Official ODA from Donors.csv,12712,18:58:13.404469,18:58:13.409127,0.004658,sequentially,18:58:12.392058,18:58:12.393335,18:58:13.446425,18:58:13.446425,1.054367
SYB66_313_202310_Threatened Species.csv,12712,18:58:13.411427,18:58:13.426540,0.015113,sequentially,18:58:12.392058,18:58:12.393335,18:58:13.446425,18:58:13.446425,1.054367
SYB66_327_202310_International Migrants and Refugees.csv,12712,18:58:13.428627,18:58:13.446425,0.017798,sequentially,18:58:12.392058,18:58:12.393335,18:58:13.446425,18:58:13.446425,1.054367
