Archivo,PID,Hora de inicio,Hora de finalización,Duración (s),Modo,Hora de inicio del programa,Hora de inicio de la carga del primer archivo,Hora de finalización de la carga del último archivo,Hora de finalización del programa,Tiempo total del proceso (s)
Accumulation-accounts-2008-2022-provisional.csv,23412,19:28:15.114361,19:28:15.261448,0.147087,multi_core,19:28:13.226541,19:28:15.114361,19:28:15.422055,19:28:15.802436,2.575895
Air_Quality.csv,7048,19:28:15.148300,19:28:15.268299,0.119999,multi_core,19:28:13.226541,19:28:15.114361,19:28:15.422055,19:28:15.802436,2.575895
annual-enterprise-survey-2023-financial-year-provisional.csv,4336,19:28:15.170668,19:28:15.449007,0.278339,multi_core,19:28:13.226541,19:28:15.114361,19:28:15.422055,19:28:15.802436,2.575895
bank.csv,21028,19:28:15.191118,19:28:15.217518,0.026400,multi_core,19:28:13.226541,19:28:15.114361,19:28:15.422055,19:28:15.802436,2.575895
consumers-price-index-june-2024-quarter-index-numbers.csv,25588,19:28:15.197120,19:28:15.334598,0.137478,multi_core,19:28:13.226541,19:28:15.114361,19:28:15.422055,19:28:15.802436,2.575895
consumers-price-index-june-2024-quarter-infoshare-data.csv,13900,19:28:15.202499,19:28:15.241525,0.039026,multi_core,19:28:13.226541,19:28:15.114361,19:28:15.422055,19:28:15.802436,2.575895
consumo_casa.csv,32628,19:28:15.214549,19:28:15.610906,0.396357,multi_core,19:28:13.226541,19:28:15.114361,19:28:15.422055,19:28:15.802436,2.575895
economic-survey-of-manufacturing-march-2024-csv.csv,13924,19:28:15.229544,19:28:15.474925,0.245381,multi_core,19:28:13.226541,19:28:15.114361,19:28:15.422055,19:28:15.802436,2.575895
electronic-card-transactions-june-2024-csv-tables.xlsx.csv,11740,19:28:15.248353,19:28:15.416997,0.168644,multi_core,19:28:13.226541,19:28:15.114361,19:28:15.422055,19:28:15.802436,2.575895
gamergate_tweets.csv,31972,19:28:15.297967,19:28:15.496212,0.198245,multi_core,19:28:13.226541,19:28:15.114361,19:28:15.422055,19:28:15.802436,2.575895
iou_zipcodes_2020.csv,23792,19:28:15.277760,19:28:15.482098,0.204338,multi_core,19:28:13.226541,19:28:15.114361,19:28:15.422055,19:28:15.802436,2.575895
machine-readable-business-employment-data-mar-2024-quarter.csv,27876,19:28:15.264447,19:28:15.433237,0.168790,multi_core,19:28:13.226541,19:28:15.114361,19:28:15.422055,19:28:15.802436,2.575895
research-and-development-survey-2023.csv,18188,19:28:15.269853,19:28:15.502211,0.232358,multi_core,19:28:13.226541,19:28:15.114361,19:28:15.422055,19:28:15.802436,2.575895
"SYB66_1_202310_Population, Surface Area and Density.csv",7744,19:28:15.299996,19:28:15.385731,0.085735,multi_core,19:28:13.226541,19:28:15.114361,19:28:15.422055,19:28:15.802436,2.575895
SYB66_223_202310_Net Disbursements from Official ODA from Donors.csv,19996,19:28:15.313561,19:28:15.350272,0.036711,multi_core,19:28:13.226541,19:28:15.114361,19:28:15.422055,19:28:15.802436,2.575895
SYB66_313_202310_Threatened Species.csv,21028,19:28:15.241525,19:28:15.298974,0.057449,multi_core,19:28:13.226541,19:28:15.114361,19:28:15.422055,19:28:15.802436,2.575895
SYB66_327_202310_International Migrants and Refugees.csv,3364,19:28:15.366064,19:28:15.422055,0.055991,multi_core,19:28:13.226541,19:28:15.114361,19:28:15.422055,19:28:15.802436,2.575895
