Archivo,PID,Hora de inicio,Hora de finalización,Duración (s),Modo,Hora de inicio del programa,Hora de inicio de la carga del primer archivo,Hora de finalización de la carga del último archivo,Hora de finalización del programa,Tiempo total del proceso (s)
Accumulation-accounts-2008-2022-provisional.csv,19020,19:27:44.623870,19:27:44.669322,0.045452,sequentially,19:27:44.622338,19:27:44.623870,19:27:45.519259,19:27:45.519259,0.896921
Air_Quality.csv,19020,19:27:44.669322,19:27:44.709104,0.039782,sequentially,19:27:44.622338,19:27:44.623870,19:27:45.519259,19:27:45.519259,0.896921
annual-enterprise-survey-2023-financial-year-provisional.csv,19020,19:27:44.710120,19:27:44.796844,0.086724,sequentially,19:27:44.622338,19:27:44.623870,19:27:45.519259,19:27:45.519259,0.896921
bank.csv,19020,19:27:44.797878,19:27:44.806536,0.008658,sequentially,19:27:44.622338,19:27:44.623870,19:27:45.519259,19:27:45.519259,0.896921
consumers-price-index-june-2024-quarter-index-numbers.csv,19020,19:27:44.807566,19:27:44.838980,0.031414,sequentially,19:27:44.622338,19:27:44.623870,19:27:45.519259,19:27:45.519259,0.896921
consumers-price-index-june-2024-quarter-infoshare-data.csv,19020,19:27:44.840527,19:27:44.845659,0.005132,sequentially,19:27:44.622338,19:27:44.623870,19:27:45.519259,19:27:45.519259,0.896921
consumo_casa.csv,19020,19:27:44.846659,19:27:45.059340,0.212681,sequentially,19:27:44.622338,19:27:44.623870,19:27:45.519259,19:27:45.519259,0.896921
economic-survey-of-manufacturing-march-2024-csv.csv,19020,19:27:45.060340,19:27:45.137881,0.077541,sequentially,19:27:44.622338,19:27:44.623870,19:27:45.519259,19:27:45.519259,0.896921
electronic-card-transactions-june-2024-csv-tables.xlsx.csv,19020,19:27:45.138888,19:27:45.181186,0.042298,sequentially,19:27:44.622338,19:27:44.623870,19:27:45.519259,19:27:45.519259,0.896921
gamergate_tweets.csv,19020,19:27:45.182186,19:27:45.271156,0.088970,sequentially,19:27:44.622338,19:27:44.623870,19:27:45.519259,19:27:45.519259,0.896921
iou_zipcodes_2020.csv,19020,19:27:45.273153,19:27:45.332969,0.059816,sequentially,19:27:44.622338,19:27:44.623870,19:27:45.519259,19:27:45.519259,0.896921
machine-readable-business-employment-data-mar-2024-quarter.csv,19020,19:27:45.332969,19:27:45.374774,0.041805,sequentially,19:27:44.622338,19:27:44.623870,19:27:45.519259,19:27:45.519259,0.896921
research-and-development-survey-2023.csv,19020,19:27:45.375784,19:27:45.449199,0.073415,sequentially,19:27:44.622338,19:27:44.623870,19:27:45.519259,19:27:45.519259,0.896921
"SYB66_1_202310_Population, Surface Area and Density.csv",19020,19:27:45.450199,19:27:45.477155,0.026956,sequentially,19:27:44.622338,19:27:44.623870,19:27:45.519259,19:27:45.519259,0.896921
SYB66_223_202310_Net Disbursements from Official ODA from Donors.csv,19020,19:27:45.479167,19:27:45.485653,0.006486,sequentially,19:27:44.622338,19:27:44.623870,19:27:45.519259,19:27:45.519259,0.896921
SYB66_313_202310_Threatened Species.csv,19020,19:27:45.486650,19:27:45.500191,0.013541,sequentially,19:27:44.622338,19:27:44.623870,19:27:45.519259,19:27:45.519259,0.896921
SYB66_327_202310_International Migrants and Refugees.csv,19020,19:27:45.502714,19:27:45.519259,0.016545,sequentially,19:27:44.622338,19:27:44.623870,19:27:45.519259,19:27:45.519259,0.896921
