Archivo,PID,Hora de inicio,Hora de finalización,Duración (s),Modo,Hora de inicio del programa,Hora de inicio de la carga del primer archivo,Hora de finalización de la carga del último archivo,Hora de finalización del programa,Tiempo total del proceso (s)
Accumulation-accounts-2008-2022-provisional.csv,15384,19:33:35.066609,19:33:35.199064,0.132455,same_core,19:33:32.183174,19:33:35.066609,19:33:36.747652,19:33:36.995541,4.812367
Air_Quality.csv,24464,19:33:35.151498,19:33:35.327164,0.175666,same_core,19:33:32.183174,19:33:35.066609,19:33:36.747652,19:33:36.995541,4.812367
annual-enterprise-survey-2023-financial-year-provisional.csv,15384,19:33:35.347468,19:33:35.517245,0.169777,same_core,19:33:32.183174,19:33:35.066609,19:33:36.747652,19:33:36.995541,4.812367
bank.csv,24464,19:33:35.367281,19:33:35.376535,0.009254,same_core,19:33:32.183174,19:33:35.066609,19:33:36.747652,19:33:36.995541,4.812367
consumers-price-index-june-2024-quarter-index-numbers.csv,24464,19:33:35.376535,19:33:35.465560,0.089025,same_core,19:33:32.183174,19:33:35.066609,19:33:36.747652,19:33:36.995541,4.812367
consumers-price-index-june-2024-quarter-infoshare-data.csv,24464,19:33:35.475741,19:33:35.481188,0.005447,same_core,19:33:32.183174,19:33:35.066609,19:33:36.747652,19:33:36.995541,4.812367
consumo_casa.csv,24464,19:33:35.482187,19:33:36.104992,0.622805,same_core,19:33:32.183174,19:33:35.066609,19:33:36.747652,19:33:36.995541,4.812367
economic-survey-of-manufacturing-march-2024-csv.csv,15384,19:33:35.705769,19:33:36.023363,0.317594,same_core,19:33:32.183174,19:33:35.066609,19:33:36.747652,19:33:36.995541,4.812367
electronic-card-transactions-june-2024-csv-tables.xlsx.csv,15384,19:33:36.051420,19:33:36.141214,0.089794,same_core,19:33:32.183174,19:33:35.066609,19:33:36.747652,19:33:36.995541,4.812367
gamergate_tweets.csv,15384,19:33:36.265070,19:33:36.561042,0.295972,same_core,19:33:32.183174,19:33:35.066609,19:33:36.747652,19:33:36.995541,4.812367
iou_zipcodes_2020.csv,24464,19:33:36.385649,19:33:36.645791,0.260142,same_core,19:33:32.183174,19:33:35.066609,19:33:36.747652,19:33:36.995541,4.812367
machine-readable-business-employment-data-mar-2024-quarter.csv,19944,19:33:36.470105,19:33:36.595690,0.125585,same_core,19:33:32.183174,19:33:35.066609,19:33:36.747652,19:33:36.995541,4.812367
research-and-development-survey-2023.csv,15384,19:33:36.567279,19:33:36.780556,0.213277,same_core,19:33:32.183174,19:33:35.066609,19:33:36.747652,19:33:36.995541,4.812367
"SYB66_1_202310_Population, Surface Area and Density.csv",19944,19:33:36.610288,19:33:36.627263,0.016975,same_core,19:33:32.183174,19:33:35.066609,19:33:36.747652,19:33:36.995541,4.812367
SYB66_223_202310_Net Disbursements from Official ODA from Donors.csv,24464,19:33:36.664702,19:33:36.680174,0.015472,same_core,19:33:32.183174,19:33:35.066609,19:33:36.747652,19:33:36.995541,4.812367
SYB66_313_202310_Threatened Species.csv,24464,19:33:36.680174,19:33:36.697404,0.017230,same_core,19:33:32.183174,19:33:35.066609,19:33:36.747652,19:33:36.995541,4.812367
SYB66_327_202310_International Migrants and Refugees.csv,19944,19:33:36.731594,19:33:36.747652,0.016058,same_core,19:33:32.183174,19:33:35.066609,19:33:36.747652,19:33:36.995541,4.812367
