Archivo,PID,Hora de inicio,Hora de finalización,Duración (s),Modo,Hora de inicio del programa,Hora de inicio de la carga del primer archivo,Hora de finalización de la carga del último archivo,Hora de finalización del programa,Tiempo total del proceso (s)
Accumulation-accounts-2008-2022-provisional.csv,23520,19:37:15.665668,19:37:15.711959,0.046291,sequentially,19:37:15.665668,19:37:15.665668,19:37:16.487540,19:37:16.487540,0.821872
Air_Quality.csv,23520,19:37:15.711959,19:37:15.739951,0.027992,sequentially,19:37:15.665668,19:37:15.665668,19:37:16.487540,19:37:16.487540,0.821872
annual-enterprise-survey-2023-financial-year-provisional.csv,23520,19:37:15.739951,19:37:15.809266,0.069315,sequentially,19:37:15.665668,19:37:15.665668,19:37:16.487540,19:37:16.487540,0.821872
bank.csv,23520,19:37:15.809266,19:37:15.819867,0.010601,sequentially,19:37:15.665668,19:37:15.665668,19:37:16.487540,19:37:16.487540,0.821872
consumers-price-index-june-2024-quarter-index-numbers.csv,23520,19:37:15.819867,19:37:15.847729,0.027862,sequentially,19:37:15.665668,19:37:15.665668,19:37:16.487540,19:37:16.487540,0.821872
consumers-price-index-june-2024-quarter-infoshare-data.csv,23520,19:37:15.847729,19:37:15.855908,0.008179,sequentially,19:37:15.665668,19:37:15.665668,19:37:16.487540,19:37:16.487540,0.821872
consumo_casa.csv,23520,19:37:15.855908,19:37:16.057759,0.201851,sequentially,19:37:15.665668,19:37:15.665668,19:37:16.487540,19:37:16.487540,0.821872
economic-survey-of-manufacturing-march-2024-csv.csv,23520,19:37:16.057759,19:37:16.130577,0.072818,sequentially,19:37:15.665668,19:37:15.665668,19:37:16.487540,19:37:16.487540,0.821872
electronic-card-transactions-june-2024-csv-tables.xlsx.csv,23520,19:37:16.130577,19:37:16.174847,0.044270,sequentially,19:37:15.665668,19:37:15.665668,19:37:16.487540,19:37:16.487540,0.821872
gamergate_tweets.csv,23520,19:37:16.174847,19:37:16.255748,0.080901,sequentially,19:37:15.665668,19:37:15.665668,19:37:16.487540,19:37:16.487540,0.821872
iou_zipcodes_2020.csv,23520,19:37:16.255748,19:37:16.306429,0.050681,sequentially,19:37:15.665668,19:37:15.665668,19:37:16.487540,19:37:16.487540,0.821872
machine-readable-business-employment-data-mar-2024-quarter.csv,23520,19:37:16.306429,19:37:16.349657,0.043228,sequentially,19:37:15.665668,19:37:15.665668,19:37:16.487540,19:37:16.487540,0.821872
research-and-development-survey-2023.csv,23520,19:37:16.349657,19:37:16.432102,0.082445,sequentially,19:37:15.665668,19:37:15.665668,19:37:16.487540,19:37:16.487540,0.821872
"SYB66_1_202310_Population, Surface Area and Density.csv",23520,19:37:16.432102,19:37:16.455105,0.023003,sequentially,19:37:15.665668,19:37:15.665668,19:37:16.487540,19:37:16.487540,0.821872
SYB66_223_202310_Net Disbursements from Official ODA from Donors.csv,23520,19:37:16.455105,19:37:16.459754,0.004649,sequentially,19:37:15.665668,19:37:15.665668,19:37:16.487540,19:37:16.487540,0.821872
SYB66_313_202310_Threatened Species.csv,23520,19:37:16.459754,19:37:16.471590,0.011836,sequentially,19:37:15.665668,19:37:15.665668,19:37:16.487540,19:37:16.487540,0.821872
SYB66_327_202310_International Migrants and Refugees.csv,23520,19:37:16.471590,19:37:16.487540,0.015950,sequentially,19:37:15.665668,19:37:15.665668,19:37:16.487540,19:37:16.487540,0.821872
